Year,OSHPD ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
2019,Rx0000033,Novo,3/31/2019,169406012,Victoza? 6mg/mL 2x3mL,1/8/2019,34.26,614.52,8/22/2022,Single Source Drug,,1,,1,,1,,,,,,,,,,,"NNI holds a number of patents related to Victoza.  We've included the expiration date for Patent #6268343 which is the compound patent for Victoza. 

NNI has applied for pediatric exclusivity.  If granted, this will add 6 months to all Orange Book exclusivities.

NNI is the original manufacturer of this product (Victoza) and did not acquire the product from a different company."
2019,Rx0000033,Novo,3/31/2019,169406013,Victoza? 6mg/mL 3x3mL,1/8/2019,51.39,921.78,8/22/2022,Single Source Drug,,1,,1,,1,,,,,,,,,,,"NNI holds a number of patents related to Victoza.  We've included the expiration date for Patent #6268343 which is the compound patent for Victoza. 

NNI has applied for pediatric exclusivity.  If granted, this will add 6 months to all Orange Book exclusivities.

NNI is the original manufacturer of this product (Victoza) and did not acquire the product from a different company."
2019,Rx0000015,AstraZeneca ,3/31/2019,310620530,Farxiga 5mg,1/1/2019,27.87,492.41,10/4/2025,Single Source Drug,599751771,,"AstraZeneca makes decisions on price revisions annually based on market conditions, a common practice across the industry. These decisions are designed to help us invest in bringing new medicines to market to address unmet patient needs and improve the lives of patients.  When making pricing decisions AstraZeneca takes the following actions:                                                                                  
- We take into account not only the budget impact to payers but also consider patient out of pocket costs to ensure that our treatments reach the patients who need them.                                                                                                          
- We seek feedback from payers and providers through meetings, advisory boards, and third party research.                                                                                                                                                                                                              
- We price responsibly and in line with current treatment costs where treatment options exist.                                                                                                                                                                                                                                            
- We consider factors such as Annual CPI-U rates and increases in manufacturing and transportation costs.                                                                                                                                                                                                                           
- We reinvest into R&D to identify future medicines to improve the lives of patients.",,"AstraZeneca is a science-led biopharmaceutical business, and our innovative medicines are used by millions of patients worldwide.  Patients and science are at the heart of everything we do, and we put careful consideration into determining the value and ultimately the cost of our medicines. Many factors go into these decisions such as the benefits our medicines provide and their potential to reduce healthcare spending on other costlier medical procedures. Equally important, these decisions enable us to invest in discovering and developing future innovative medicines where new treatments are needed.",,2/1/2014,Bristol-Myers Squibb,2700000000,,"AstraZeneca paid Bristol-Myers Squibb $2.7 billion of initial consideration. AstraZeneca has also agreed to pay up to $1.4 billion in regulatory, launch and sales payments, and various sales-related royalty payments up until 2025, $600 million of which relates to the approval of Farxiga in the US. In addition, AstraZeneca may make payments of up to $225 million when certain assets are subsequently transferred.",289.2,,2014,289.2,,
2019,Rx0000015,AstraZeneca ,3/31/2019,310621030,Farxiga 10mg,1/1/2019,27.87,492.41,10/4/2025,Single Source Drug,1289346480,,"AstraZeneca makes decisions on price revisions annually based on market conditions, a common practice across the industry. These decisions are designed to help us invest in bringing new medicines to market to address unmet patient needs and improve the lives of patients.  When making pricing decisions AstraZeneca takes the following actions:                                                                                  
- We take into account not only the budget impact to payers but also consider patient out of pocket costs to ensure that our treatments reach the patients who need them.                                                                                                          
- We seek feedback from payers and providers through meetings, advisory boards, and third party research.                                                                                                                                                                                                              
- We price responsibly and in line with current treatment costs where treatment options exist.                                                                                                                                                                                                                                            
- We consider factors such as Annual CPI-U rates and increases in manufacturing and transportation costs.                                                                                                                                                                                                                           
- We reinvest into R&D to identify future medicines to improve the lives of patients.",,"AstraZeneca is a science-led biopharmaceutical business, and our innovative medicines are used by millions of patients worldwide.  Patients and science are at the heart of everything we do, and we put careful consideration into determining the value and ultimately the cost of our medicines. Many factors go into these decisions such as the benefits our medicines provide and their potential to reduce healthcare spending on other costlier medical procedures. Equally important, these decisions enable us to invest in discovering and developing future innovative medicines where new treatments are needed.",,2/1/2014,Bristol-Myers Squibb,2700000000,,"AstraZeneca paid Bristol-Myers Squibb $2.7 billion of initial consideration. AstraZeneca has also agreed to pay up to $1.4 billion in regulatory, launch and sales payments, and various sales-related royalty payments up until 2025, $600 million of which relates to the approval of Farxiga in the US. In addition, AstraZeneca may make payments of up to $225 million when certain assets are subsequently transferred.",289.2,,2014,289.2,,
2019,Rx0000015,AstraZeneca ,3/31/2019,310625030,Xigduo XR 5-500mg,1/1/2019,27.87,492.41,10/4/2025,Single Source Drug,22269231,,"AstraZeneca makes decisions on price revisions annually based on market conditions, a common practice across the industry. These decisions are designed to help us invest in bringing new medicines to market to address unmet patient needs and improve the lives of patients.  When making pricing decisions AstraZeneca takes the following actions:                                                                                  
- We take into account not only the budget impact to payers but also consider patient out of pocket costs to ensure that our treatments reach the patients who need them.                                                                                                          
- We seek feedback from payers and providers through meetings, advisory boards, and third party research.                                                                                                                                                                                                              
- We price responsibly and in line with current treatment costs where treatment options exist.                                                                                                                                                                                                                                            
- We consider factors such as Annual CPI-U rates and increases in manufacturing and transportation costs.                                                                                                                                                                                                                           
- We reinvest into R&D to identify future medicines to improve the lives of patients.",,"AstraZeneca is a science-led biopharmaceutical business, and our innovative medicines are used by millions of patients worldwide.  Patients and science are at the heart of everything we do, and we put careful consideration into determining the value and ultimately the cost of our medicines. Many factors go into these decisions such as the benefits our medicines provide and their potential to reduce healthcare spending on other costlier medical procedures. Equally important, these decisions enable us to invest in discovering and developing future innovative medicines where new treatments are needed.",,,,,,,,,,,,"AstraZeneca developed this NDC, it was not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,3/31/2019,597014760,JENTADUETO 2.5 MG-850 MG TAB,1/1/2019,24.69,436.17,6/4/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=172,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,3/31/2019,597014818,"JENTADUETO 2.5 MG-1,000 MG TAB",1/1/2019,74.07,1308.51,6/4/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=173,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000038,Boehringer Ingelheim,3/31/2019,597014860,"JENTADUETO 2.5 MG-1,000 MG TAB",1/1/2019,24.69,436.17,6/4/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=174,"For Column F as reflected in the FDA publication, Approved Drug Products with Therapeutic Equivalence Evaluations (the “Orange Book”), the latest patent expiration is provided.  Not acquired within the last five years."
2019,Rx0000015,AstraZeneca ,3/31/2019,310626060,Xigduo XR 5-1000mg,1/1/2019,27.87,492.41,10/4/2025,Single Source Drug,212483946,,"AstraZeneca makes decisions on price revisions annually based on market conditions, a common practice across the industry. These decisions are designed to help us invest in bringing new medicines to market to address unmet patient needs and improve the lives of patients.  When making pricing decisions AstraZeneca takes the following actions:                                                                                  
- We take into account not only the budget impact to payers but also consider patient out of pocket costs to ensure that our treatments reach the patients who need them.                                                                                                          
- We seek feedback from payers and providers through meetings, advisory boards, and third party research.                                                                                                                                                                                                              
- We price responsibly and in line with current treatment costs where treatment options exist.                                                                                                                                                                                                                                            
- We consider factors such as Annual CPI-U rates and increases in manufacturing and transportation costs.                                                                                                                                                                                                                           
- We reinvest into R&D to identify future medicines to improve the lives of patients.",,"AstraZeneca is a science-led biopharmaceutical business, and our innovative medicines are used by millions of patients worldwide.  Patients and science are at the heart of everything we do, and we put careful consideration into determining the value and ultimately the cost of our medicines. Many factors go into these decisions such as the benefits our medicines provide and their potential to reduce healthcare spending on other costlier medical procedures. Equally important, these decisions enable us to invest in discovering and developing future innovative medicines where new treatments are needed.",,,,,,,,,,,,"AstraZeneca developed this NDC, it was not acquired within the last five years."
2019,Rx0000015,AstraZeneca ,3/31/2019,310627030,Xigduo XR 10-500mg,1/1/2019,27.87,492.41,10/4/2025,Single Source Drug,13322599,,"AstraZeneca makes decisions on price revisions annually based on market conditions, a common practice across the industry. These decisions are designed to help us invest in bringing new medicines to market to address unmet patient needs and improve the lives of patients.  When making pricing decisions AstraZeneca takes the following actions:                                                                                  
- We take into account not only the budget impact to payers but also consider patient out of pocket costs to ensure that our treatments reach the patients who need them.                                                                                                          
- We seek feedback from payers and providers through meetings, advisory boards, and third party research.                                                                                                                                                                                                              
- We price responsibly and in line with current treatment costs where treatment options exist.                                                                                                                                                                                                                                            
- We consider factors such as Annual CPI-U rates and increases in manufacturing and transportation costs.                                                                                                                                                                                                                           
- We reinvest into R&D to identify future medicines to improve the lives of patients.",,"AstraZeneca is a science-led biopharmaceutical business, and our innovative medicines are used by millions of patients worldwide.  Patients and science are at the heart of everything we do, and we put careful consideration into determining the value and ultimately the cost of our medicines. Many factors go into these decisions such as the benefits our medicines provide and their potential to reduce healthcare spending on other costlier medical procedures. Equally important, these decisions enable us to invest in discovering and developing future innovative medicines where new treatments are needed.",,,,,,,,,,,,"AstraZeneca developed this NDC, it was not acquired within the last five years."
